persona_id,persona,engaging,coherence,positive,sum,e+c,,,engaging,coherence,positive,sum,e+c
0,1984 is my favorite book .,0.250292565,0.702480199,0.692983024,1.645755788,0.952772764,,avg,0.335 ,0.715 ,0.617 ,1.667 ,1.050 
1,a already have a children .,0.335412722,0.761716753,0.550020933,1.647150408,1.097129475,,std,0.067 ,0.037 ,0.085 ,0.092 ,0.081 
2,a already have a step children .,0.296922355,0.737146614,0.524121431,1.558190399,1.034068968,,max,0.638 ,0.787 ,0.837 ,2.015 ,1.267 
3,a hobby of mine is the drums .,0.277254761,0.695966831,0.66687461,1.640096202,0.973221592,,min,0.185 ,0.576 ,0.359 ,1.222 ,0.793 
4,"and , i love psychoanalyzing my friends .",0.412341173,0.685036917,0.717422667,1.814800757,1.09737809,,,,,,,
5,"and , my best friend is abigail .",0.320529811,0.763518925,0.602727016,1.686775751,1.084048736,,,,,,,
6,ariel is my favorite princess .,0.298432047,0.772915605,0.686572886,1.757920538,1.071347652,,,,,,,
7,"at night , i party hard in the atlanta club scene , and i never miss a music festival .",0.306354141,0.656721193,0.680674082,1.643749416,0.963075334,,,,,,,
8,"before i die , i want to skydive .",0.354148124,0.710781581,0.686556218,1.751485923,1.064929705,,,,,,,
9,black coffee is my addiction .,0.350809823,0.710131721,0.683417057,1.7443586,1.060941544,,,,,,,
10,both my moms tell me they love me when i call them .,0.315751444,0.768993647,0.702444629,1.78718972,1.084745091,,,,,,,
11,both my parents are creative .,0.346551255,0.754911993,0.706169243,1.807632491,1.101463248,,,,,,,
12,both my parents were over 6 foot tall .,0.328403538,0.764803259,0.58300211,1.676208907,1.093206797,,,,,,,
13,britney spears is a wonderful singer who really touches me .,0.213297651,0.710612493,0.715418225,1.639328369,0.923910144,,,,,,,
14,brownies are my favorite dessert .,0.278107808,0.703119141,0.73098615,1.712213099,0.981226949,,,,,,,
15,"but , i feel lost and far away from who i truly am .",0.437899751,0.680113724,0.37229666,1.490310135,1.118013475,,,,,,,
16,cher from clueless is my idea of perfection .,0.302681536,0.768699904,0.679527639,1.750909079,1.07138144,,,,,,,
17,chocolate chip cookies are the tastier things in my opinion .,0.258242879,0.722633208,0.687616846,1.668492933,0.980876087,,,,,,,
18,coffee is important to me .,0.344165744,0.739512948,0.684066715,1.767745408,1.083678693,,,,,,,
19,coffee is my preferred beverage .,0.341706338,0.715161249,0.696000311,1.752867899,1.056867588,,,,,,,
20,cooking is one of my pass times .,0.353178877,0.67812385,0.711543746,1.742846473,1.031302727,,,,,,,
21,country music makes me cringe .,0.24168275,0.690692754,0.704366617,1.636742121,0.932375504,,,,,,,
22,drawing in traditional style is my pasion .,0.347802759,0.715068086,0.6137034,1.676574244,1.062870845,,,,,,,
